stage,elapsed_us
scheduler.adapter_pop,85381.2
scheduler.enqueue_microbatch,9.299
scheduler.build_microbatch,17.407
scheduler.decode_pop,84603.5
scheduler.adapter_pop,84122.2
scheduler.enqueue_microbatch,7.158
scheduler.build_microbatch,15.321
scheduler.decode_pop,78882.5
scheduler.adapter_pop,78851
scheduler.enqueue_microbatch,9.079
scheduler.build_microbatch,20.508
scheduler.decode_pop,79438.7
scheduler.adapter_pop,78912.6
scheduler.enqueue_microbatch,4.029
scheduler.build_microbatch,10.41
scheduler.decode_pop,76577.9
scheduler.adapter_pop,76178.6
scheduler.enqueue_microbatch,12.831
scheduler.build_microbatch,20.51
scheduler.decode_pop,81438.1
scheduler.adapter_pop,82364.5
scheduler.enqueue_microbatch,11.891
scheduler.build_microbatch,25.522
scheduler.decode_pop,79786.5
scheduler.adapter_pop,78696.7
scheduler.enqueue_microbatch,5.892
scheduler.build_microbatch,18.015
scheduler.decode_pop,82719.3
scheduler.adapter_pop,84452.1
scheduler.enqueue_microbatch,10
scheduler.build_microbatch,20.711
scheduler.decode_pop,76551.4
scheduler.adapter_pop,76280.3
scheduler.enqueue_microbatch,4.048
scheduler.build_microbatch,8.475
scheduler.decode_pop,77412.6
scheduler.adapter_pop,76943.2
scheduler.enqueue_microbatch,6.244
scheduler.build_microbatch,15.857
scheduler.decode_pop,83061.3
scheduler.adapter_pop,83849.6
scheduler.enqueue_microbatch,11.917
scheduler.build_microbatch,24.273
scheduler.decode_pop,76418.6
scheduler.adapter_pop,75047.9
scheduler.enqueue_microbatch,4.804
scheduler.build_microbatch,11.399
scheduler.decode_pop,81964.3
scheduler.adapter_pop,82183.7
scheduler.enqueue_microbatch,10.472
scheduler.build_microbatch,16.695
scheduler.decode_pop,82717.8
scheduler.adapter_pop,83800.6
scheduler.enqueue_microbatch,10.109
scheduler.build_microbatch,20.196
scheduler.decode_pop,78455
scheduler.adapter_pop,76914.1
scheduler.enqueue_microbatch,6.63
scheduler.build_microbatch,13.948
scheduler.decode_pop,84069.8
scheduler.adapter_pop,83156.1
scheduler.enqueue_microbatch,4.431
scheduler.build_microbatch,12.551
scheduler.decode_pop,83194.9
scheduler.adapter_pop,83851.9
scheduler.enqueue_microbatch,6.688
scheduler.build_microbatch,15.079
scheduler.decode_pop,79263.7
scheduler.adapter_pop,79182.9
scheduler.enqueue_microbatch,6.402
scheduler.build_microbatch,17.134
scheduler.decode_pop,81617.6
scheduler.adapter_pop,82383.7
scheduler.enqueue_microbatch,6.246
scheduler.build_microbatch,17.645
scheduler.decode_pop,79645.4
scheduler.adapter_pop,81323.1
scheduler.enqueue_microbatch,6.153
scheduler.build_microbatch,16.341
scheduler.decode_pop,81308
scheduler.adapter_pop,78817.7
scheduler.enqueue_microbatch,6.947
scheduler.build_microbatch,15.092
scheduler.decode_pop,77657.2
scheduler.adapter_pop,77920.3
scheduler.enqueue_microbatch,6.396
scheduler.build_microbatch,11.935
scheduler.decode_pop,79826.1
scheduler.adapter_pop,80580.4
scheduler.enqueue_microbatch,8.147
scheduler.build_microbatch,14.296
scheduler.decode_pop,77950.5
scheduler.adapter_pop,77352.4
scheduler.enqueue_microbatch,6.794
scheduler.build_microbatch,17.979
scheduler.decode_pop,79800
scheduler.adapter_pop,80533.9
scheduler.enqueue_microbatch,6.164
scheduler.build_microbatch,16.521
scheduler.decode_pop,81252.2
scheduler.adapter_pop,81138.3
scheduler.enqueue_microbatch,10.218
scheduler.build_microbatch,21.332
scheduler.decode_pop,78850.6
scheduler.adapter_pop,77274.1
scheduler.enqueue_microbatch,9.754
scheduler.build_microbatch,21.421
scheduler.decode_pop,80397.2
scheduler.adapter_pop,80573.5
scheduler.enqueue_microbatch,12.135
scheduler.build_microbatch,26.418
scheduler.decode_pop,74254.8
scheduler.adapter_pop,74418
scheduler.enqueue_microbatch,8.74
scheduler.build_microbatch,16.318
scheduler.decode_pop,82290.5
scheduler.adapter_pop,81594.4
scheduler.enqueue_microbatch,6.385
scheduler.build_microbatch,15.739
scheduler.decode_pop,80714.1
scheduler.adapter_pop,81280.7
scheduler.enqueue_microbatch,6.1
scheduler.build_microbatch,10.52
scheduler.decode_pop,78028.3
scheduler.adapter_pop,77849
scheduler.enqueue_microbatch,5.55
scheduler.build_microbatch,11.743
scheduler.decode_pop,84055
scheduler.adapter_pop,84999
scheduler.enqueue_microbatch,6.159
scheduler.build_microbatch,14.38
scheduler.decode_pop,79065.2
scheduler.adapter_pop,79607.2
scheduler.enqueue_microbatch,6.601
scheduler.build_microbatch,13.907
scheduler.decode_pop,77310.4
scheduler.adapter_pop,78347
scheduler.enqueue_microbatch,7.938
scheduler.build_microbatch,13.607
scheduler.decode_pop,81491.1
scheduler.adapter_pop,81497.2
scheduler.enqueue_microbatch,8.14
scheduler.build_microbatch,16.236
scheduler.decode_pop,81344
scheduler.adapter_pop,81091.9
scheduler.enqueue_microbatch,4.149
scheduler.build_microbatch,9.845
scheduler.decode_pop,77028.2
scheduler.adapter_pop,77292.2
scheduler.enqueue_microbatch,11.076
scheduler.build_microbatch,22.554
scheduler.decode_pop,83665.1
scheduler.adapter_pop,82090.5
scheduler.enqueue_microbatch,10.55
scheduler.build_microbatch,19.682
scheduler.decode_pop,79692.8
scheduler.adapter_pop,79587.9
scheduler.enqueue_microbatch,10.808
scheduler.build_microbatch,22.958
scheduler.decode_pop,79704.7
scheduler.adapter_pop,78944.7
scheduler.enqueue_microbatch,11.865
scheduler.build_microbatch,23.253
scheduler.decode_pop,80729
scheduler.adapter_pop,81089.5
scheduler.enqueue_microbatch,9.649
scheduler.build_microbatch,41.771
scheduler.decode_pop,77649.8
scheduler.adapter_pop,78691.5
scheduler.enqueue_microbatch,12.012
scheduler.build_microbatch,24.861
scheduler.decode_pop,82626
scheduler.adapter_pop,81696.6
scheduler.enqueue_microbatch,9.869
scheduler.build_microbatch,17.774
scheduler.decode_pop,75475.6
scheduler.adapter_pop,75945.6
scheduler.enqueue_microbatch,10.623
scheduler.build_microbatch,23.392
scheduler.decode_pop,82005.9
scheduler.adapter_pop,81606.5
